Bit,Message,Hashes,Cycle pos,Cycle Node
24,ec7EC3,0,3865,487643
24,1dC355,0,2606,F747C1
24,FFf36F,0,4933,F747C1
24,3cc307,0,1696,487643
24,eEB0FC,0,4190,487643
24,9CBA52,0,4603,487643
24,2c2cb1,0,5592,F747C1
24,A5eCf5,0,3479,487643
24,67A799,0,3113,487643
24,aDd082,0,3385,487643
24,1Cb95a,0,216,02A948
24,D1936E,0,1005,487643
24,EfE575,0,3758,F747C1
24,A049DC,0,2662,F747C1
24,efdaE3,0,5502,F747C1
24,D915Ed,0,3991,487643
24,0F41Ac,0,2393,F747C1
24,bfFAC1,0,4812,487643
24,3D3e85,0,46,6CEF8D
24,C28D5a,0,3367,08FAB4
24,73cb2d,0,7630,F747C1
24,B04CeF,0,1160,F747C1
24,fBd6af,0,2691,F747C1
24,CEA1Ed,0,4987,487643
32,2b6d9c,0,58996,8D4279DF
32,eCebd2,0,28644,E6398FC0
32,c4eFb5,0,52003,8D4279DF
32,1658Aa,0,24163,8D4279DF
32,FbE691,0,474,08AA91CD
32,8387D3,0,54309,8D4279DF
32,BEF57b,0,37282,8D4279DF
32,F6bCB6,0,6649,9FFAF850
32,fF22CB,0,76950,8D4279DF
32,72cb60,0,54816,8D4279DF
32,08828d,0,26858,8D4279DF
32,BbeEcA,0,97197,E6398FC0
32,4C564f,0,48227,8D4279DF
32,eaDccF,0,38260,E6398FC0
32,4f9ECD,0,9409,D3A4E222
32,e3cF5B,0,112167,E6398FC0
32,3F3Cfb,0,35085,8D4279DF
32,2E075A,0,22181,8D4279DF
32,d2803B,0,33816,E6398FC0
32,0aA178,0,57166,E6398FC0
32,5Bc5B4,0,33789,E6398FC0
32,d82E46,0,27049,E6398FC0
32,5e1B7d,0,21332,C0487E10
32,DfF0ac,0,38874,E6398FC0
32,bBc116,0,33454,E6398FC0
32,10BCbB,0,14550,8D4279DF
32,1cEa4a,0,57296,8D4279DF
32,8fDbEF,0,57955,8D4279DF
32,C77A61,0,50747,E6398FC0
32,AFCbC4,0,105154,E6398FC0
32,5eefcb,0,6655,D3A4E222
32,67078c,0,2401,A253C566
32,D8f530,0,45335,8D4279DF
32,bdbB40,0,33981,E6398FC0
32,ff1a5d,0,103918,E6398FC0
32,46c4BB,0,97304,E6398FC0
32,EfB722,0,6457,D3A4E222
32,621CcC,0,13231,3D4502FE
32,D02d79,0,24886,8D4279DF
32,Aef9Bb,0,22294,8D4279DF
32,B92A8c,0,56723,8D4279DF
32,1eadab,0,22723,E6398FC0
32,75800D,0,29283,E6398FC0
32,eeb317,0,54313,8D4279DF
32,c16D6c,0,67705,E6398FC0
32,1386F7,0,59019,8D4279DF
32,958FDF,0,57861,8D4279DF
32,5EC8ae,0,45541,8D4279DF
32,1C2fbB,0,90316,E6398FC0
32,6EF3A4,0,3753,F1113472
32,fD9eAA,0,46895,8D4279DF
32,1600AA,0,54083,8D4279DF
32,eFb1Ca,0,58198,8D4279DF
32,818fb2,0,928,C2FC988D
32,21eFe9,0,65706,E6398FC0
32,5A0420,0,2708,9C2FB98F
32,b9e9e3,0,52771,8D4279DF
32,8a8fDE,0,31715,E6398FC0
32,9a6dae,0,14829,9FFAF850
32,feDe9d,0,20598,8D4279DF
32,ADACEf,0,11837,8D4279DF
32,B54eAb,0,102922,E6398FC0
32,dD0eA3,0,7880,9FFAF850
32,880C7d,0,112321,E6398FC0
32,67ED12,0,9074,9C2FB98F
32,F15e71,0,41661,8D4279DF
32,b3fb6A,0,102917,E6398FC0
32,8AfDb4,0,101036,E6398FC0
32,c1Ca42,0,116301,E6398FC0
32,A0faa4,0,103261,E6398FC0
32,B857c6,0,17115,C0487E10
32,aB7Fdd,0,21540,E6398FC0
32,C50BAE,0,39902,8D4279DF
32,82112C,0,47833,E6398FC0
32,d9EDA3,0,61708,8D4279DF
32,6e4cEC,0,4450,E6398FC0
32,8fDccE,0,37477,8D4279DF
32,BCc607,0,21747,E6398FC0
32,aE9DfD,0,51730,8D4279DF
32,cc7bE7,0,26392,E6398FC0
32,B40DA0,0,36109,8D4279DF
32,96ddE0,0,22734,8D4279DF
32,839dfa,0,49345,8D4279DF
32,eF7A13,0,58895,E6398FC0
32,01c74A,0,57363,8D4279DF
32,62E56a,0,30495,E6398FC0
32,14e6DA,0,46014,E6398FC0
32,1FE701,0,13580,9FFAF850
32,6449cF,0,103380,E6398FC0
32,b634fb,0,122933,E6398FC0
32,7a1f8F,0,13642,8D4279DF
32,d0cbBa,0,28537,E6398FC0
32,a7E67C,0,52852,8D4279DF
32,9dC437,0,33816,E6398FC0
32,Cce55c,0,14148,9FFAF850
32,541A24,0,42084,8D4279DF
32,845c2c,0,26269,E6398FC0
32,96eC9b,0,16966,C0487E10
32,79cCaF,0,24659,E6398FC0
32,e12a5F,0,14463,E6398FC0
